filename,condition,subject,band,wasserstein_h0,wasserstein_h1,n_windows,tau,corr_mean_persistence_r,corr_mean_persistence_p,corr_total_persistence_r,corr_total_persistence_p,corr_persistence_entropy_r,corr_persistence_entropy_p,corr_max_persistence_r,corr_max_persistence_p,corr_n_features_r,corr_n_features_p
bb01_ut03.mat,slow,bb01,delta,16.429634232564812,1.1325332695305061,15,31,0.15,0.5936302027425882,0.0964285714285714,0.7324528633867308,0.21268998662713062,0.44662512093108797,0.37499999999999994,0.16843274984674558,0.4440374447232025,0.09729509802062238
bb01_ut03.mat,slow,bb01,theta,15.51715377076714,1.5867258533319488,15,13,-0.36428571428571427,0.18191025904581395,-0.23571428571428568,0.3977029459032728,0.12857142857142856,0.6479163294665075,0.14285714285714282,0.6115222287644655,0.061998598933306226,0.8262620857677301
bb01_ut03.mat,slow,bb01,alpha,15.38602346821558,1.3148840725802098,15,7,0.06071428571428571,0.8298120954425188,-0.08214285714285713,0.7710285652881772,-0.3142857142857143,0.2539400163236714,0.3285714285714285,0.23180969720615968,-0.05701471867866915,0.8400550522658303
bb01_ut03.mat,slow,bb01,beta,13.510115717345975,1.0142963836999888,15,3,-0.18928571428571428,0.49926303323854526,-0.0035714285714285704,0.9899214068809781,-0.475,0.07357086204591354,0.19999999999999998,0.4748139645221684,-0.2794936742276529,0.3130429952757824
bb01_ut03.mat,slow,bb01,gamma,17.990061483851203,1.0822634426428699,15,2,0.0857142857142857,0.7613341261907667,0.2321428571428571,0.40509874069364893,-0.1464285714285714,0.602549920983054,0.03214285714285714,0.9094621170945906,0.0027447403985358765,0.9922542517784927
bb01_ut04.mat,slow,bb01,delta,12.537211853722308,0.8063774815404086,15,87,-0.4593190894944667,0.08499817133393725,0.04029114820126901,0.8866331418997833,-0.03622089663122213,0.8980274440640674,-0.3867950227321825,0.15437661408424105,0.4305615452020461,0.10913127500603584
bb01_ut04.mat,slow,bb01,theta,15.723901616365731,1.5907736108271808,15,11,0.010714285714285713,0.9697698761545686,0.30357142857142855,0.27135583600386853,-0.3071428571428571,0.2654726857102779,-0.5357142857142856,0.03956697222954947,0.47370371447502846,0.0744711863678021
bb01_ut04.mat,slow,bb01,alpha,15.158577009531419,1.2931258444234714,15,7,-0.06428571428571428,0.8199479653196377,-0.035714285714285705,0.8994469934720875,-0.07142857142857141,0.8002959873970544,-0.10357142857142855,0.7133796306287292,0.052392892722586785,0.8528848219868983
bb01_ut04.mat,slow,bb01,beta,13.938700300275508,1.0293892063994625,15,4,0.42142857142857143,0.11769939585541649,0.28571428571428564,0.3019363513225493,-0.3857142857142856,0.1556307945859602,0.3142857142857143,0.2539400163236714,-0.05351464427214842,0.849767675640222
bb01_ut04.mat,slow,bb01,gamma,18.342010060080987,1.100305303506263,15,2,0.18214285714285713,0.5158816817070392,0.09285714285714285,0.742045009907367,-0.10357142857142855,0.7133796306287292,-0.010714285714285713,0.9697698761545686,-0.07671312851617348,0.7858272658329875
